berniesanders,bernie,sanders,feelthebern,sanders2016,socialist,socialism,politicalrevolution,legalizemarijuana
hillaryclinton,hillary,clinton,hillary2016,,,,,
martinomalley,martin,omalley,,,,,,
donaldtrump,donald,trump,trump2016,,,,,
bencarson,ben,carson,,,,,,
marcorubio,marco,rubio,,,,,,
tedcruz,ted,cruz,,,,,,
jebbush,jeb,bush,,,,,,
,,,,,,,,
isis,islamic,states,,,,,,
,,,,,,,,
democrat,debate,,,,,,,
republican,debate,,,,,,,
,,,,,,,,
abortion,prochoice,prolife,,,,,,
,,,,,,,,
healthcare,obamacare,medicare,,,,,,
,,,,,,,,
foreignpolicy,war,wariniraq,,,,,,
,,,,,,,,
9/11,terrorism,waronterrorism,,,,,,
,,,,,,,,
economy,taxreform,federaltax,wallstreet,,,,,
,,,,,,,,
minimumwage,,,,,,,,
,,,,,,,,
gaymarriage,,,,,,,,
,,,,,,,,
climatechange,globalwarming,,,,,,,
,,,,,,,,
guncontrol,,,,,,,,
,,,,,,,,
immigration,,,,,,,,
,,,,,,,,
blacklivesmatter,,,,,,,,
